relation,sex,age_code,job_type,start_type,start_time_num_6,start_zcode_num,act_num,mode_num,trip_time_num_6,end_type,end_zcode_num,Cluster
0,0,6,2,1.0,87,36.0,2.0,2.0,143,1.0,36.0,8
2,1,0,0,0.0,131,38.0,0.0,2.0,19,0.0,38.0,2
2,1,3,7,1.0,93,13.0,2.0,2.0,87,1.0,13.0,6
2,0,1,0,4.0,173,10.0,4.0,2.0,34,4.0,10.0,9
1,1,12,1,0.0,115,11.0,0.0,1.0,125,0.0,11.0,7
1,1,3,3,1.0,200,0.0,1.0,3.0,3,0.0,0.0,7
1,1,7,7,1.0,87,63.0,2.0,2.0,116,1.0,63.0,7
1,1,9,1,4.0,115,4.0,5.0,2.0,15,4.0,4.0,7
2,1,0,0,2.0,140,19.0,1.0,3.0,2,0.0,19.0,2
1,1,5,1,0.0,145,65.0,0.0,2.0,15,0.0,65.0,7
0,1,6,3,1.0,100,15.0,2.0,2.0,75,1.0,15.0,3
1,1,6,2,0.0,200,15.0,0.0,1.0,40,0.0,15.0,7
2,0,0,0,4.0,172,71.0,4.0,2.0,33,4.0,71.0,1
1,0,7,3,0.0,237,13.0,0.0,1.0,3,0.0,13.0,4
0,0,7,5,1.0,215,17.0,1.0,4.0,10,0.0,31.0,4
2,0,0,0,0.0,142,53.0,0.0,1.0,98,0.0,53.0,1
2,0,0,0,0.0,80,62.0,1.0,3.0,4,2.0,62.0,1
0,0,10,2,1.0,150,43.0,2.0,2.0,60,1.0,43.0,8
2,1,1,0,0.0,122,17.0,0.0,1.0,118,0.0,17.0,6
0,0,7,2,0.0,65,46.0,1.0,5.0,3,1.0,18.0,4
1,1,2,8,0.0,90,10.0,1.0,4.0,5,4.0,10.0,7
1,1,8,3,0.0,90,20.0,1.0,3.0,5,1.0,20.0,7
1,1,6,1,4.0,128,52.0,6.0,2.0,1,4.0,52.0,7
3,0,12,1,0.0,108,4.0,1.0,3.0,7,4.0,4.0,0
1,1,4,5,0.0,0,45.0,0.0,0.0,80,0.0,45.0,7
2,0,1,0,0.0,175,19.0,0.0,1.0,65,0.0,19.0,9
1,1,9,4,0.0,85,44.0,1.0,5.0,5,1.0,43.0,7
